id,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
3237,f,y,n,t,n,f,c,b,w,e,?,s,s,w,w,p,w,t,e,w,c,w,0
3238,f,y,n,f,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l,1
3239,f,y,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,g,1
3240,k,y,e,f,y,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l,1
3241,f,y,n,f,m,f,c,b,y,e,c,k,y,c,c,p,w,n,n,w,c,d,1
3242,f,s,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,a,g,0
3243,x,y,n,f,s,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p,1
3244,x,f,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,k,y,d,0
3245,f,s,y,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d,0
3246,f,y,g,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,v,d,0
3247,x,y,g,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,k,y,d,0
3248,f,f,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,g,1
3249,x,s,w,t,f,f,c,b,h,t,b,s,f,w,w,p,w,o,p,h,v,g,1
3250,x,s,e,f,y,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,l,1
3251,x,f,e,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,y,d,0
3252,k,y,e,f,f,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d,1
3253,x,s,b,t,f,f,c,b,p,t,b,f,s,w,w,p,w,o,p,h,s,u,1
3254,x,y,n,f,s,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d,1
3255,b,f,w,f,n,f,w,b,p,e,?,k,k,w,w,p,w,t,p,w,s,g,0
3256,f,f,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,s,g,0
3257,f,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,1
3258,x,f,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g,0
3259,f,y,y,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,g,1
3260,f,f,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d,0
3261,f,s,w,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g,0
3262,k,y,n,f,y,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d,1
3263,k,s,e,f,y,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l,1
3264,x,y,n,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p,0
3265,x,s,e,f,y,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p,1
3266,f,s,n,f,n,a,c,b,y,e,?,s,s,o,o,p,o,o,p,y,v,l,0
3267,x,f,e,t,n,f,c,b,w,t,b,s,s,p,w,p,w,o,p,k,v,d,0
3268,x,f,e,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,y,d,0
3269,f,y,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,k,v,d,0
3270,x,f,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,d,1
3271,f,s,n,f,s,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l,1
3272,f,y,g,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,y,d,0
3273,f,f,g,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,p,1
3274,f,y,e,f,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,p,1
3275,x,s,g,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g,0
3276,k,y,e,f,f,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,l,1
3277,x,y,e,f,s,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p,1
3278,f,y,g,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,g,1
3279,f,s,w,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,0
3280,x,s,g,f,n,f,w,b,w,e,?,s,k,w,w,p,w,t,p,w,n,g,0
3281,x,y,n,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,v,d,0
3282,x,y,e,f,s,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,p,1
3283,f,y,y,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,g,1
3284,f,y,n,f,s,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,p,1
3285,f,f,g,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,p,1
3286,x,s,p,f,c,f,c,n,g,e,b,s,s,w,w,p,w,o,p,k,s,d,1
3287,f,y,y,f,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,g,1
3288,f,f,y,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,d,1
3289,f,s,n,f,s,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,p,1
3290,x,y,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,d,1
3291,f,y,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,y,d,0
3292,f,y,g,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,v,d,0
3293,f,f,e,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,v,d,0
3294,x,f,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,d,1
3295,f,f,n,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,y,d,0
3296,x,y,n,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d,0
3297,f,f,e,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,v,d,0
3298,x,y,n,f,y,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,p,1
3299,f,f,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,k,v,d,0
3300,x,f,y,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,g,1
3301,f,y,e,f,y,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p,1
3302,f,f,g,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,v,d,0
3303,x,s,g,f,n,f,w,b,p,e,?,k,k,w,w,p,w,t,p,w,s,g,0
3304,k,y,e,f,s,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,d,1
3305,f,f,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,a,g,0
3306,x,f,g,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g,0
3307,f,f,g,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,v,d,0
3308,f,y,g,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,n,v,d,0
3309,k,s,n,f,y,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l,1
3310,f,s,n,f,s,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,d,1
3311,x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,0
3312,f,y,e,f,y,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l,1
3313,f,f,g,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,y,d,0
3314,x,f,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,s,g,0
3315,k,f,g,f,n,f,w,b,g,e,?,k,k,w,w,p,w,t,p,w,n,g,0
3316,x,y,n,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,y,d,0
3317,x,f,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,p,1
3318,k,s,n,f,s,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,l,1
3319,f,y,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,v,d,0
3320,f,f,y,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,d,1
3321,x,f,n,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,y,d,0
3322,f,y,n,f,s,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,l,1
3323,f,y,e,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d,0
3324,x,f,g,t,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,y,d,0
3325,x,s,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g,0
3326,f,y,n,f,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,p,1
3327,x,y,y,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,d,1
3328,x,f,y,f,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,v,d,1
3329,f,f,g,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,v,d,0
3330,k,y,e,f,y,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d,1
3331,x,s,n,f,s,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,l,1
3332,x,y,e,f,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,d,1
3333,c,y,y,f,n,f,w,n,y,e,c,y,y,y,y,p,y,o,e,w,c,l,1
3334,x,f,w,f,c,f,c,n,n,e,b,s,s,w,w,p,w,o,p,k,v,d,1
3335,f,s,n,f,s,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,l,1
3336,f,y,g,f,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,p,1
3337,f,y,e,f,y,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,d,1
3338,x,y,g,t,n,f,c,b,p,t,b,s,s,p,g,p,w,o,p,n,v,d,0
3339,x,y,g,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,p,1
3340,x,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,g,1
3341,x,y,n,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,y,d,0
3342,f,s,w,t,f,f,c,b,p,t,b,s,s,w,w,p,w,o,p,h,v,u,1
3343,k,y,n,t,n,f,c,b,e,e,?,s,s,e,w,p,w,t,e,w,c,w,0
3344,x,s,p,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,k,s,d,1
3345,f,f,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,p,1
3346,f,s,n,f,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,n,a,g,0
3347,x,f,y,f,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,p,1
3348,x,y,n,f,y,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d,1
3349,k,y,n,f,s,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,l,1
3350,f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,u,1
3351,x,f,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,v,d,0
3352,f,y,n,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,v,d,0
3353,x,y,n,f,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,p,1
3354,b,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,0
3355,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,g,1
3356,f,f,g,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g,0
3357,f,y,y,t,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p,0
3358,x,f,w,f,c,f,w,n,u,e,b,s,s,w,w,p,w,o,p,n,v,d,1
3359,f,y,e,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,v,d,0
3360,f,f,y,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,g,1
3361,f,f,e,t,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,v,d,0
3362,x,f,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g,0
3363,f,f,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,k,y,d,0
3364,k,s,e,f,y,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d,1
3365,x,y,y,f,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,p,1
3366,f,f,g,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,v,d,0
3367,x,f,c,f,n,f,w,n,w,e,b,f,f,w,n,p,w,o,e,w,v,l,0
3368,b,y,b,t,n,f,c,b,g,e,b,s,s,w,w,p,w,t,p,r,v,g,1
3369,x,y,n,f,y,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p,1
3370,x,f,e,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,v,d,0
3371,b,s,n,f,n,a,c,b,o,e,?,s,s,o,o,p,n,o,p,o,v,l,0
3372,f,s,w,t,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,0
3373,x,s,n,f,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,l,1
3374,f,f,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,d,1
3375,x,s,n,f,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g,0
3376,x,s,e,f,s,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p,1
3377,b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,0
3378,x,s,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,u,1
3379,f,f,n,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g,0
3380,f,f,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,d,1
3381,x,f,n,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,k,y,d,0
3382,x,s,n,f,n,a,c,b,o,e,?,s,s,o,o,p,n,o,p,o,c,l,0
3383,k,s,n,f,y,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l,1
3384,k,s,n,f,y,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,l,1
3385,x,f,g,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,v,d,1
3386,b,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,0
3387,x,f,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g,0
3388,x,s,n,f,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,p,1
3389,x,y,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u,1
3390,x,s,n,f,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d,1
3391,x,y,e,t,n,f,c,b,w,t,b,s,s,p,g,p,w,o,p,k,y,d,0
3392,b,s,g,f,n,f,w,b,p,e,?,s,k,w,w,p,w,t,p,w,n,g,0
3393,f,f,w,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g,0
3394,x,y,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,y,d,0
3395,f,f,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,p,1
3396,f,s,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,a,g,0
3397,f,f,y,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,d,1
3398,x,f,e,t,n,f,c,b,n,t,b,s,s,w,w,p,w,o,p,n,v,d,0
3399,f,s,w,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g,0
3400,x,f,e,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,n,y,d,0
3401,x,f,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,p,1
3402,f,y,n,f,s,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,d,1
3403,x,f,n,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,v,d,0
3404,f,f,g,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g,0
3405,x,f,e,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,n,v,d,0
3406,b,s,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m,0
3407,x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,g,1
3408,x,s,n,f,s,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,d,1
3409,x,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,u,1
3410,f,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g,1
3411,x,s,g,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,a,g,0
3412,f,y,n,f,y,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d,1
3413,f,y,w,f,n,f,c,n,u,e,?,s,f,w,w,p,w,o,f,h,y,d,0
3414,b,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,0
3415,f,f,g,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,y,d,0
3416,f,y,n,t,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g,0
3417,x,s,b,t,f,f,c,b,h,t,b,f,s,w,w,p,w,o,p,h,v,u,1
3418,x,y,e,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,v,d,0
3419,k,y,y,f,n,f,w,n,w,e,c,y,y,y,y,p,y,o,e,w,c,l,1
3420,f,y,n,f,f,f,c,n,b,t,?,s,k,w,p,p,w,o,e,w,v,l,1
3421,x,s,n,f,f,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d,1
3422,b,s,w,f,n,f,w,b,g,e,?,s,k,w,w,p,w,t,p,w,s,g,0
3423,b,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g,0
3424,f,f,n,f,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,s,g,0
3425,f,f,y,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d,0
3426,k,s,n,f,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,d,1
3427,x,s,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,0
3428,f,s,e,f,s,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,p,1
3429,b,y,w,t,n,f,c,b,g,e,b,s,s,w,w,p,w,t,p,r,v,g,1
3430,x,f,e,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,v,d,0
3431,f,f,n,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,v,d,0
3432,x,f,e,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,v,d,0
3433,f,y,e,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,y,d,0
3434,f,s,w,t,f,f,c,b,w,t,b,f,f,w,w,p,w,o,p,h,v,g,1
3435,k,s,n,f,n,a,c,b,o,e,?,s,s,o,o,p,o,o,p,o,v,l,0
3436,x,y,y,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,d,1
3437,f,f,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,d,1
3438,x,f,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,d,1
3439,x,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,0
3440,x,s,n,f,y,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l,1
3441,f,f,g,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,n,y,d,0
3442,b,f,g,f,n,f,w,b,p,e,?,k,s,w,w,p,w,t,p,w,s,g,0
3443,x,s,w,f,c,f,c,n,u,e,b,s,s,w,w,p,w,o,p,n,v,d,1
3444,k,s,e,f,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d,1
3445,x,y,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,g,1
3446,k,f,n,f,n,f,w,n,w,e,b,f,f,w,n,p,w,o,e,w,v,l,0
3447,x,y,n,f,y,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,d,1
3448,b,y,w,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g,0
3449,x,y,e,t,n,f,c,b,u,t,b,s,s,p,w,p,w,o,p,k,v,d,0
3450,f,s,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,s,g,0
3451,x,y,y,f,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,v,d,1
3452,f,f,g,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,y,d,0
3453,f,y,g,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,n,y,d,0
3454,x,s,n,f,n,a,c,b,n,e,?,s,s,o,o,p,o,o,p,y,v,l,0
3455,k,y,e,f,f,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,l,1
3456,k,y,n,f,y,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,d,1
3457,f,s,n,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g,0
3458,f,f,y,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,p,1
3459,f,s,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,a,g,0
3460,b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,0
3461,x,y,c,f,n,f,w,n,w,e,b,s,s,w,n,p,w,o,e,w,v,l,0
3462,k,s,g,f,n,f,w,b,g,e,?,s,s,w,w,p,w,t,p,w,n,g,0
3463,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,1
3464,x,s,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,0
3465,f,y,n,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,s,p,0
3466,x,y,n,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,n,v,d,0
3467,x,y,n,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,k,v,d,0
3468,f,y,e,t,n,f,c,b,e,e,?,s,s,e,e,p,w,t,e,w,c,w,0
3469,f,f,y,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,g,1
3470,f,f,g,f,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,d,1
3471,x,s,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g,0
3472,x,y,e,f,s,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l,1
3473,k,s,n,f,s,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,d,1
3474,f,y,e,t,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,v,d,0
3475,x,f,w,f,n,f,w,b,p,e,?,s,k,w,w,p,w,t,p,w,n,g,0
3476,x,y,n,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,y,d,0
3477,k,y,n,f,f,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,l,1
3478,x,f,e,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,y,d,0
3479,x,s,n,f,s,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,p,1
3480,x,y,n,t,n,f,c,b,u,t,b,s,s,w,p,p,w,o,p,k,v,d,0
3481,x,f,y,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,0
3482,f,y,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,g,1
3483,f,f,y,f,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,d,1
3484,x,f,g,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,g,1
3485,f,f,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,d,1
3486,f,f,n,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,v,d,0
3487,x,s,g,f,c,f,w,n,p,e,b,s,s,w,w,p,w,o,p,n,v,d,1
3488,x,s,g,t,f,f,c,b,h,t,b,s,f,w,w,p,w,o,p,h,v,u,1
3489,f,f,n,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,v,d,0
3490,f,y,g,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,y,d,0
3491,x,s,w,t,f,f,c,b,p,t,b,s,f,w,w,p,w,o,p,h,s,g,1
3492,f,f,e,t,n,f,c,b,p,t,b,s,s,w,p,p,w,o,p,n,v,d,0
3493,f,y,y,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,v,p,1
3494,x,y,g,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,n,y,d,0
3495,f,s,g,t,f,f,c,b,h,t,b,s,f,w,w,p,w,o,p,h,s,u,1
3496,x,y,g,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,y,d,0
3497,x,y,g,t,n,f,c,b,w,t,b,s,s,w,g,p,w,o,p,k,y,d,0
3498,x,s,n,f,s,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,d,1
3499,x,y,n,f,y,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d,1
3500,x,s,n,f,n,a,c,b,y,e,?,s,s,o,o,p,n,o,p,b,v,l,0
3501,f,y,g,f,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,g,1
3502,x,y,n,t,n,f,c,b,w,t,b,s,s,w,p,p,w,o,p,k,v,d,0
3503,k,s,e,f,s,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,l,1
3504,f,f,y,f,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,d,1
3505,x,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g,0
3506,k,s,e,f,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p,1
3507,f,f,n,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,y,u,0
3508,b,s,w,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g,0
3509,f,y,y,f,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,v,p,1
3510,k,s,n,t,n,f,c,b,e,e,?,s,s,e,e,p,w,t,e,w,c,w,0
3511,f,y,n,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,1
3512,f,f,y,f,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,g,1
3513,f,f,n,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,y,d,0
3514,f,y,y,f,n,f,w,n,y,e,c,y,y,y,y,p,y,o,e,w,c,l,1
3515,b,s,n,f,n,a,c,b,n,e,?,s,s,o,o,p,o,o,p,o,c,l,0
3516,b,y,w,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,0
3517,f,s,b,t,n,f,c,b,r,e,b,s,s,w,w,p,w,t,p,r,v,g,1
3518,x,s,g,t,f,f,c,b,w,t,b,s,f,w,w,p,w,o,p,h,s,g,1
